nombre,simbolo,precio_usd,capitalizacion_mercado,volumen_24h,variacion_24h_pct,maximo_24h,minimo_24h,suministro_circulante,ranking,cap_billones_usd,tendencia
Bitcoin,btc,75608.0,1513564506928,41285527212.0,-0.97172,77808.0,75103.0,20022387.0,1,1513.564506928,🔴 Baja
Ethereum,eth,2236.83,269863053200,18065670658.0,-2.78858,2344.02,2224.38,120688026.7187431,2,269.8630532,🔴 Baja
Tether,usdt,0.99956,189610283292,72866043242.0,-0.02699,0.999918,0.999554,189693530635.0639,3,189.610283292,🔴 Baja
XRP,xrp,1.36,83808613661,2081213030.0,-1.77945,1.4,1.35,61684942428.0,4,83.808613661,🔴 Baja
BNB,bnb,613.35,82691211862,1049938906.0,-1.71673,629.21,611.16,134786169.57,5,82.691211862,🔴 Baja
USDC,usdc,0.999811,77270529875,15318572154.0,-0.00163,0.999952,0.997454,77287427869.90732,6,77.270529875,🔴 Baja
Solana,sol,82.29,47395538814,3695573119.0,-1.8952,85.46,81.57,576089016.9242572,7,47.395538814,🔴 Baja
TRON,trx,0.323301,30647728770,460472374.0,0.01032,0.323566,0.321636,94785374757.83229,8,30.64772877,🟢 Sube
Figure Heloc,figr_heloc,1.033,17787039584,29030111.0,-0.7164,1.04,1.028,17219276974.097,9,17.787039584,🔴 Baja
Dogecoin,doge,0.101827,15677334513,4199682936.0,2.20055,0.110396,0.098929,154033996383.7052,10,15.677334513,🟢 Sube
WhiteBIT Coin,wbt,53.75,11469355664,82663998.0,-0.70591,55.15,53.36,213418274.0,11,11.469355664,🔴 Baja
USDS,usds,0.999748,10532862091,39249800.0,-0.01228,1.001,0.999528,10535533774.90445,12,10.532862091,🔴 Baja
LEO Token,leo,10.34,9522890073,471490.0,-0.24809,10.39,10.26,920732405.9,13,9.522890073,🔴 Baja
Hyperliquid,hype,39.92,9514999890,226695978.0,-0.1269,40.77,39.31,238385315.9541414,14,9.51499989,🔴 Baja
Cardano,ada,0.242134,8950316295,466128938.0,-2.13826,0.25365,0.239317,36968110460.71545,15,8.950316295,🔴 Baja
Bitcoin Cash,bch,445.35,8918561676,163812699.0,-1.01962,455.08,442.73,20027840.52165078,16,8.918561676,🔴 Baja
Monero,xmr,372.42,6867579581,106461319.0,-1.42873,384.52,370.28,18446744.07370955,17,6.867579581,🔴 Baja
Chainlink,link,9.03,6565773864,251719421.0,-2.64856,9.41,8.94,727099970.4523476,18,6.565773864,🔴 Baja
Canton,cc,0.151643,5829247615,10313374.0,1.71474,0.153337,0.148447,38416477566.25735,19,5.829247615,🟢 Sube
Zcash,zec,321.95,5374140251,451836483.0,-3.6161,339.46,319.23,16685215.7905448,20,5.374140251,🔴 Baja
Stellar,xlm,0.159422,5307505705,145343989.0,-1.83602,0.164482,0.158848,33306988080.2456,21,5.307505705,🔴 Baja
MemeCore,m,3.45,4474545906,37674287.0,2.59283,3.62,3.3,1295789897.508533,22,4.474545906,🟢 Sube
USD1,usd1,0.999687,4472992545,1095438568.0,0.01014,1.001,0.999115,4473217220.359459,23,4.472992545,🟢 Sube
Dai,dai,0.999502,4424033750,30114837.0,-0.01441,1.0,0.999002,4426877244.401733,24,4.42403375,🔴 Baja
Litecoin,ltc,54.82,4229160105,397556853.0,-1.141,57.5,54.43,77113783.23347135,25,4.229160105,🔴 Baja
Avalanche,avax,9.07,3914886642,232184529.0,-1.2559,9.43,8.95,431771961.1772119,26,3.914886642,🔴 Baja
Hedera,hbar,0.0882,3821239577,62088164.0,-1.14059,0.090914,0.087418,43373141655.75083,27,3.821239577,🔴 Baja
Ethena USDe,usde,0.998997,3807331299,75314080.0,-0.00713,0.999404,0.998797,3811114989.122109,28,3.807331299,🔴 Baja
Rain,rain,0.00774519,3705156892,12421765.0,2.9202,0.00799158,0.00741362,478381904316.44257,29,3.705156892,🟢 Sube
Shiba Inu,shib,6.09e-06,3586823115,184520386.0,-0.82278,6.55e-06,6.02e-06,589243390471962.6,30,3.586823115,🔴 Baja
Sui,sui,0.899676,3557777798,311423878.0,-2.94156,0.936603,0.887932,3953388932.071221,31,3.557777798,🔴 Baja
PayPal USD,pyusd,0.999901,3378638717,86812161.0,-0.00062,1.0,0.999595,3379016923.910484,32,3.378638717,🔴 Baja
Toncoin,ton,1.3,3248703573,1154838559.0,0.16317,1.36,1.29,2495075402.175316,33,3.248703573,🟢 Sube
Cronos,cro,0.067996,2960717377,9951570.0,-1.62352,0.069525,0.067495,43558740653.46849,34,2.960717377,🔴 Baja
Circle USYC,usyc,1.12,2920467985,224547.0,0.01824,1.12,1.12,2601092365.271424,35,2.920467985,🟢 Sube
Tether Gold,xaut,4547.57,2544694813,179583538.0,-0.96992,4602.33,4518.13,559898.736688,36,2.544694813,🔴 Baja
Global Dollar,usdg,0.999699,2425411996,53143888.0,-0.01096,0.999978,0.999608,2426082258.773648,37,2.425411996,🔴 Baja
Bittensor,tao,252.72,2423650619,205828901.0,-1.75192,265.87,249.14,9597491.0,38,2.423650619,🔴 Baja
BlackRock USD Institutional Digital Liquidity Fund,buidl,1.0,2282121657,0.0,0.0,1.0,1.0,2282121656.820449,39,2.282121657,🔴 Baja
PAX Gold,paxg,4544.05,2176130158,149451513.0,-1.04744,4600.99,4510.47,479162.743,40,2.176130158,🔴 Baja
Mantle,mnt,0.622384,2055335436,38212608.0,-1.76777,0.639711,0.620291,3302294382.53684,41,2.055335436,🔴 Baja
World Liberty Financial,wlfi,0.063967,2033068306,82780663.0,-13.74265,0.074158,0.063634,31765932876.0,42,2.033068306,🔴 Baja
Polkadot,dot,1.2,2016629278,134387571.0,-2.80618,1.26,1.19,1681491397.929887,43,2.016629278,🔴 Baja
Uniswap,uni,3.16,2002971025,157695729.0,-3.23987,3.32,3.12,633561603.6037512,44,2.002971025,🔴 Baja
Pi Network,pi,0.187931,1942277218,39740290.0,-1.58639,0.199485,0.186858,10335976832.0224,45,1.942277218,🔴 Baja
Sky,sky,0.081787,1898894558,12938656.0,-6.27448,0.087262,0.081638,23212456718.194485,46,1.898894558,🔴 Baja
Falcon USD,usdf,0.997087,1784226847,753112.0,0.00977,0.997975,0.99519,1789887476.15152,47,1.784226847,🟢 Sube
OKB,okb,81.82,1717109558,18128719.0,-1.09873,83.86,81.22,21000000.0,48,1.717109558,🔴 Baja
NEAR Protocol,near,1.32,1702598208,120484704.0,-2.62693,1.37,1.3,1294182835.0,49,1.702598208,🔴 Baja
Aster,aster,0.652591,1681701134,178760462.0,0.02242,0.677736,0.649377,2577051635.309978,50,1.681701134,🟢 Sube
